,TABLE 15. ECONOMIC INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Government revenue as % of GDP 2010–2018*,,Government Expenditure 2010–2018*,,,,,,,,,Official Development Assistance 2010–2018*,,,,,,,,,,,,,,,,,,,,,,,,
,,,,As % of GDP,,,,,As % of government budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,On health,On education ,,On social protection,On health,On education,,On social protection,Inflow in millions US$,Inflow as a % of recipient GNI,Outflow in millions US$,,Ouflow as a % of donor GNI,,,,,,,,,,,,,,,,,,,,
,ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,12.2,,36.7,0.5,3.2,,?,2.0,12.5,,?,3804.0,18.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Albania,25.7,,23.9,2.9,3.4,,1.6,9.5,11.3,,0.1,157.0,1.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Algeria,40.4,,29.5,4.9,?,,?,10.7,?,,?,189.0,0.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Andorra,?,,?,5.0,3.3,,?,15.2,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Angola,16.4,,16.7,1.4,3.5,,2.3,4.6,8.7,,0.1,223.0,0.2,?,,?,,,,,,,,,,,,,,,,,,,,
,Anguilla,?,,?,?,?,,?,?,?,,?,? ,?     ,?,,?,,,,,,,,,,,,,,,,,,,,
,Antigua and Barbuda,19.3,,?,3.2,?,,?,12.3,?,,?,10.0,0.7,?,,?,,,,,,,,,,,,,,,,,,,,
,Argentina,19.5,,24.3,6.8,5.8,,2.1,16.6,14.0,,0.1,?5.0,0.0,?,,?,,,,,,,,,,,,,,,,,,,,
,Armenia,22.5,,22.6,1.6,2.8,,1.4,6.1,10.7,,0.1,255.0,2.1,?,,?,,,,,,,,,,,,,,,,,,,,
,Australia,24.8,,26.6,6.4,5.3,,?,17.2,14.1,,?,?,?,3036.0,,0.2,,,,,,,,,,,,,,,,,,,,
,Austria,43.5,,44.2,7.5,5.5,,?,14.8,10.7,,?,?,?,1251.0,,0.3,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,35.2,,28.0,1.4,3.0,,0.8,3.7,7.6,,0.0,116.0,0.3,?,,?,,,,,,,,,,,,,,,,,,,,
,Bahamas,16.9,,19.1,3.0,?,,?,15.9,?,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Bahrain,24.0,,23.4,3.2,2.7,,?,8.8,7.3,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Bangladesh,10.2,,9.4,0.4,1.5,,0.7,3.4,11.4,,0.1,3740.0,1.4,?,,?,,,,,,,,,,,,,,,,,,,,
,Barbados,27.5,,36.3,3.2,4.7,,?,9.1,12.9,,?,?,?,?,,?,,,,,,,,,,,,,,,,,,,,
,Belarus,29.6,,29.3,3.7,4.8,,3.1,8.5,11.5,,0.1,?253.0,?0.5,?,,?,,,,,,,,,,,,,,,,,,,,
