,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE 16. WOMEN'S ECONOMIC EMPOWERMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Social Institutions and Gender Index (SIGI)                   2019,Legal frameworks on gender equality in employment        2018  ,"Maternity leave benefits
2018","Paternity leave benefits
2018","Demand for family planning satisfied with modern methods (%) 
2013?2018*",,"Educational attainment 
2010?2017*",,,,"Labour force participation rate
2010?2018*",,,,,,,,,,,,"Unemployment rate
2010?2018*",,,,,,,,,,,,"Mobile phone ownership
2014?2017*",,,,"Financial inclusion 
2014?2017*",,
,,,,,,,,upper secondary,,,,male,,,,,,female,,,,,,male,,,,,,female,,,,,,,,,,,,
,,,,,,,,male,,female,,rural,,urban,,total ,,rural,,urban,,total,,rural,,urban,,total,,rural,,urban,,total,,male,,female,,male,female,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Very high,?,No,Yes,42,,?,,?,,74,,71,,73,,23,,16,,21,,10,,12,,10,,9,,36,,14,,?,,?,,23,7,
,Albania,Low,0.7,Yes,Yes,5,,46,,44,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,42,38,
,Algeria,?,?,Yes,Yes,77,,28,x,23,x,65,,57,,60,,10,,15,,13,,?,,?,,?,,?,,?,,?,,?,,?,,56,29,
,Andorra,?,?,?,?,–,,48,,47,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Angola,?,?,No,No,30,,20,,12,,89,,73,,80,,90,,63,,75,,2,,12,,7,,1,,15,,8,,78,,80,,36,22,
,Anguilla,?,?,?,?,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Antigua and Barbuda,?,?,No,No,–,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Argentina,?,?,No,Yes,–,,40,x,44,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,46,51,
,Armenia,Low,0.8,Yes,No,37,,92,,92,,74,,68,,71,,61,,48,,53,,8,,25,,18,,7,,25,,17,,?,,?,,56,41,
,Australia,Very low,1.0,Yes,Yes,–,,78,,75,,67,,72,,71,,57,,61,,60,,?,,?,,?,,?,,?,,?,,?,,?,,100,99,
,Austria,Very low,?,Yes,No,–,,86,,73,,67,,67,,67,,57,,55,,56,,2,,7,,5,,3,,6,,5,,?,,?,,98,98,
,Azerbaijan,Low,?,Yes,No,22,x,92,,85,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,88,,80,,29,28,
,Bahamas,?,?,?,?,–,,81,x,82,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Bahrain,?,?,No,Yes,–,,39,,47,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,100,,100,,86,75,
,Bangladesh,Very high,0.2,Yes,No,73,,34,,24,,80,,81,,81,,39,,31,,36,,3,,3,,3,,6,,9,,7,,54,,31,,65,36,
,Barbados,?,0.4,No,No,70,x,23,x,25,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,?,
,Belarus,Low,0.5,Yes,No,74,x,88,x,82,x,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,91,,95,,81,81,
,Belgium,Very low,?,Yes,Yes,–,,69,,65,,61,,59,,59,,52,,49,,50,,4,,7,,6,,4,,6,,6,,?,,?,,98,99,
,Belize,?,?,Yes,No,66,,36,,37,,81,,77,,79,,41,,57,,49,,4,,5,,5,,12,,8,,10,,?,,?,,44,52,
