,"TABLE 8 NUTRITION: PRESCHOOL/SCHOOL AGE CHILDREN, WOMEN AND HOUSEHOLDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,"Malnutrition among preschool-aged children 
(0–4 years of age) 
2013–2018*",,,,,,,,,,,,"Vitamin A supplement-ation, full
coveragea 
(%) 
2017",,"Malnutrition among school-aged children 
(5–19 years of age) 
2016",,,,"Malnutrition among women
2016 ",,,,"Percentage of households consuming iodized salt
2013–2018*",,,,,,,,,,,
,,"Stunted (%) 
(moderate and severe)",,,,,,Wasted (%),,,,Overweight (%) ,,,,Thinness (%) ,,Overweight (%),,Underweight 18+ years (%),,Anaemia 15–49 years (%),,,,,,,,,,,,,
,,all children,,poorest 20%,,richest 20%,,severe,,moderate and severe,,moderate and severe,,,,thin and severely thin,,overweight and obese,,"BMI
<18.5 kg/m2",,"mild, moderate and severe",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,41,,49,,31,,4,,10,,5,,95,f,17,,9,,16,,42,,57,,,,,,,,,,,
,Albania,11,,17,,9,,1,,2,,16,,–,,1,,25,,2,,25,,65,,,,,,,,,,,
,Algeria,12,,13,x,11,x,1,x,4,x,12,x,–,,6,,31,,4,,36,,81,,,,,,,,,,,
,Andorra,–,,–,,–,,–,,–,,–,,–,,1,,36,,1,,14,,–,,,,,,,,,,,
,Angola,38,,47,,20,,1,,5,,3,,3,f,8,,11,,11,,48,,82,,,,,,,,,,,
,Anguilla,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Antigua and Barbuda,–,,–,,–,,–,,–,,–,,–,,3,,27,,4,,22,,–,,,,,,,,,,,
,Argentina,8,x,–,,–,,<1,x,1,x,10,x,–,,1,,37,,1,,19,,–,,,,,,,,,,,
,Armenia,9,,12,,6,,2,,4,,14,,–,,2,,19,,3,,29,,99,,,,,,,,,,,
,Australia,2,x,–,,–,,<1,x,<1,x,8,x,–,,1,,34,,2,,9,,–,,,,,,,,,,,
,Austria,–,,–,,–,,–,,–,,–,,–,,2,,27,,3,,17,,–,,,,,,,,,,,
,Azerbaijan,18,,28,,16,,1,,3,,14,,41,"f,w",3,,19,,3,,38,,93,,,,,,,,,,,
,Bahamas,–,,–,,–,,–,,–,,–,,–,,3,,36,,3,,23,,–,,,,,,,,,,,
,Bahrain,–,,–,,–,,–,,–,,–,,–,,6,,35,,4,,42,,–,,,,,,,,,,,
,Bangladesh,36,,49,,20,,3,,14,,2,,99,f,18,,9,,22,,40,,68,,,,,,,,,,,
,Barbados,8,,8,x,3,x,2,x,7,x,12,x,–,,4,,28,,3,,22,,37,x,,,,,,,,,,
,Belarus,4,x,10,x,2,x,1,x,2,x,10,x,–,,2,,23,,2,,23,,–,,,,,,,,,,,
,Belgium,–,,–,,–,,–,,–,,–,,–,,1,,24,,2,,16,,–,,,,,,,,,,,
,Belize,15,,26,,5,,1,,2,,7,,–,,3,,29,,3,,22,,85,,,,,,,,,,,
,Benin,32,,46,,18,,1,,5,,2,,99,f,7,,11,,9,,47,,85,,,,,,,,,,,
,Bhutan,34,x,41,x,21,x,2,x,6,x,8,x,–,f,16,,10,,11,,36,,–,,,,,,,,,,,
,Bolivia (Plurinational State of),16,,32,"x,r",9,"x,r",1,,2,,10,,31,f,1,,28,,2,,30,,86,,,,,,,,,,,
,Bosnia and Herzegovina,9,,10,x,10,x,2,x,2,x,17,x,–,,2,,21,,2,,29,,–,,,,,,,,,,,
,Botswana,31,x,–,,–,,3,x,7,x,11,x,83,f,6,,18,,7,,30,,83,x,,,,,,,,,,
,Brazil,7,x,–,,–,,<1,x,2,x,6,x,–,,3,,28,,3,,27,,98,x,,,,,,,,,,
,British Virgin Islands,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,,
,Brunei Darussalam,20,x,–,,–,,<1,x,3,x,8,x,–,,6,,27,,6,,17,,–,,,,,,,,,,,
,Bulgaria,9,"w,x",–,,–,,1,"w,x",3,"w,x",14,"w,x",–,,2,,29,,2,,26,,92,"x,y",,,,,,,,,,
,Burkina Faso,21,,42,"x,r",19,"x,r",2,,9,,2,,0,f,8,,8,,13,,50,,92,x,,,,,,,,,,
,Burundi,56,,69,,31,,1,,5,,1,,79,f,7,,10,,12,,27,,89,,,,,,,,,,,
,Cabo Verde,–,,–,,–,,–,,–,,–,,–,,7,,12,,8,,33,,97,"x,y",,,,,,,,,,
,Cambodia,32,,42,,19,,2,,10,,2,,73,f,11,,11,,14,,47,,68,,,,,,,,,,,
,Cameroon,32,,42,,14,,1,,5,,7,,9,f,6,,13,,7,,41,,86,,,,,,,,,,,
,Canada,–,,–,,–,,–,,–,,10,"x,y",–,,1,,32,,2,,10,,–,,,,,,,,,,,
,Central African Republic,40,,45,x,30,x,2,x,8,x,2,x,0,f,8,,11,,13,,46,,84,x,,,,,,,,,,
,Chad,40,,41,,31,,4,,13,,3,,67,f,8,,9,,14,,48,,77,,,,,,,,,,,
,Chile,2,,–,,–,,–,,<1,,9,,–,,1,,35,,1,,15,,–,,,,,,,,,,,
,China,8,,–,,–,,1,x,2,,9,,–,,3,,29,,6,,26,,96,"b,y",,,,,,,,,,
,Colombia,13,x,19,x,6,x,<1,x,1,x,5,x,–,,2,,24,,3,,21,,–,,,,,,,,,,,
,Comoros,31,,39,x,24,x,4,x,11,x,11,x,21,f,7,,12,,9,,29,,82,x,,,,,,,,,,
,Congo,21,,30,,14,,3,,8,,6,,12,f,7,,11,,12,,52,,91,,,,,,,,,,,
,Cook Islands,–,,–,,–,,–,,–,,–,,–,,<1,,63,,<1,,–,,–,,,,,,,,,,,
